JAWAHAR NAVODAYA VIDYALAYA," VPO GHAROTA, DISTT JAMMU, J&K-181122 ,181122",1912624919," sharmababuanil59@gmail.com
",ANIL BABU SHARMA,
JAWAHAR NAVODAYA VIDYALAYA," N U D P W D RENTAL HOUSING COLONY SAMBA DISTT JAMMU JAMMU & KASHMIR ,184121",1923219097," jnv_nud_samba@yahoo.com
",SUKHRAJ KAUR,
JODHA MAL PUBLIC SCHOOL," CHANNI HIMMAT, JAMMU BYE PASS ROAD JAMMU (J&K) ,180011",1912466092," principaljodhamal@gmail.com
",Mr.Deep Khare,
K C INTERNATIONAL SCHOOL," AKHNOOR ROAD PALOURA JAMMU J & K ,180002",1912506230," principal.kcinternationalschool@gmail.com
",MAYA MISHRA,
K C PUBLIC SCHOOL," AKHNOOR ROAD JAMMU JAMMU & KASHMIR ,181205",1912552204," principal@kcpublicschool.org
 ",MR. AMARENDRA KUMAR MISHRA,www.kcpublicschool.org
"KC GURUKUL PUBLIC SCHOOL PALOURA, JAMMU"," KC GURUKUL PUBLIC SCHOOL HO 1B.C. ROAD JAMMU ,180002",1912501509," kcgurukuljmu@gmail.com
",Banashrii Bijoli Barman,
KENDRIYA VIDYALAYA," AMINOO, KULGAM JAMMU & KASHMIR ,400088",1931260104," kdeep0195@gmail.com
",DEEP KUMAR,
KENDRIYA VIDYALAYA," JOURIAN, JAMMU & KASHMIR-181 202 ,798601",1242015927,"
",.,
KENDRIYA VIDYALAYA," BANTALAB C R P F CAMPUS JAMMU JAMMU & KASHMIR ,181123",1912592007," vsanphy@gmail.com
 ",V SANTHOSH KUMAR,http://www.kvbantalab.org
KENDRIYA VIDYALAYA," NAGROTA, DISTT JAMMU, JAMMU & KASHMIR ,181221",1912673837," anuj8709@gmail.com
",ANUJ KUMAR,
KENDRIYA VIDYALAYA," MIRAN SAHIB JAMMU DISTT, JAMMU & KASHMIR ,181101",1923263260," agimonalex@yahoo.co.in
",AGIMON A CHELLAMCOTT,
KENDRIYA VIDYALAYA," DAMANA LALE DE BAGH P.O. VILLAGE SANGRAMPUR TEH. & DISTT.- JAMMU, JAMMU & KASHMIR ,180002",1912605970," crbhagat8@gmail.com
",C R BHAGAT,
KENDRIYA VIDYALAYA," JINDRAH P.O. KANYALAYA DISTT. JAMMU, JAMMU & KASHMIR ,180003",191661141," kvjindrah@gmail.com
 ",ISHPAL SINGH,www.kvjindrah.com
KENDRIYA VIDYALAYA," KALUCHAK AT SUNJUWAN, JAMMU P O. SAINIK COLONY JAMMU & KASHMIR ,180010",1912462357," manishtulijnv@gmail.com
",MANISH TULI,
KENDRIYA VIDYALAYA NO 1," AKHNOOR, DISTT JAMMU, JAMMU & KASHMIR ,181201",1924253250," SSINGH120@GMAIL.COM
",SURJEET SINGH,
KENDRIYA VIDYALAYA NO 1," NEAR GOAL MARKET, GANDHI NAGAR JAMMU JAMMU & KASHMIR ,180004",1912430137," trc.agt@rediffmail.com
",TILAK RAJ CHOUDHARY,
KENDRIYA VIDYALAYA NO 2," JAMMU CANTT JAMMU & KASHMIR ,180003",1912432436," principalkv2jammucantt@gmail.com
",BHUSHAN KUMAR,
MAHARAJA HARISINGH AGRICULTURAL COLLEGIATE SCHOOL," NAGBANI P O DUMANA JAMMU TAWI JAMMU & KASHMIR ,181206",1912604342," sweenpuri1957@gmail.com
 ",Sween Puri,www.mhacnagbani.com
MAHARAJA HARISINGH D A V CENTANARY PUBLIC SCHOOL," AKHNO JAMMU & KASHMIR ,181201",1924252437," mhdav2437@yahoo.com
",S SHARMA,
MAHARISHI VIDYA MANDIR," KATHUA W NO 14 OPP C T M JAMMU J & K ,184101",1922202384," arun_80sharma@yahoo.com
",Arun Kumar Sharma,
MAHARISHI VIDYA MANDIR PUBLIC SCHOOL," EXTN. SAINIK COLONY JAMMU JAMMU & KASHMIR ,180011",1912468521," sharmarita_61@yahoo.com
",Reeta Sharma,
MAHAVIR INTERNATIONAL SCHOOL," 17 MILES STONE NH IA PO VIJAY PUR TEHSIL SAMBA DISTT JAMMU J & K ,171001",1923212270," mvofficial01@gmail.com
",KUNDAN LAL DOGRA,
MODEL ACADEMY," B.C ROAD ,180001",1912546078," principal@modelacademy.in
 http://www.modelacademy.in",Pramod Kumar Srivastava,
PRESENTATION CONVENT HIGH SCHOOL," GANDHI NAGAR, JAMMU, JAMMU & KASHMIR ,180004",1912430086," hemabarretto@gmail.com
",Sr Hema Barretto, http://www.pcsjammu.g
R.M. PUBLIC SCHOOL," CHOWADHI, SAINIK COLONY ,180011",1912431187," rmpublicschool07@gmail.com
",MRS. RAVINDER KOUR,
"REGIONAL RESEARCH LABORATORY HIGH SCHOOL, CANAL ROAD JAMMU"," RRL HIGH SCHOOL,CANAL ROAD JAMMU ,180002",1912582860," rrlhighschool@gmail.com
 ",Mr.Jagdish Lal Sharma,http://www.iiim.res.in
RICH HARVEST SCHOOL," ,181133",1923220298," anitabhatia867@gmail.com
 ",ANITA BHATIA,http://www.richharvestschool.in
RMG INTERNATIONAL SCHOOL," VILL JANDIAL ,181122",9419224153," rmginternationalschool@gmail.com
 ",MRS. KANCHAN SANGA,http://www.rmginternational.in
S O S HERMANN GMEINER SCHOOL," GOLE GUJRAL TALAB TILLO JAMMU JAMMU & KASHMIR ,180002",1912501651," principal.jammuhgs@soscvindia.org
 ",Ramesh Kumar Dhar,http://www.ssrvm.org
SAINIK SCHOOL," NAGROTA JAMMU JAMMU & KASHMIR ,181221",1912673060," jmt.chinar@gmail.com
",MR. M P SINGH, sainikschoolnagrota.com
SANT HARE RAM DASS PUBLIC SCHOOL," PO: MANDAL ,180003",1912228885," vishal.manhas@gmail.com
",Mr.Vishal Manhas,
SPRINGDALES SCHOOL," LOWER BARNAI, RAJOURI LINES, AKHNOOR ROAD JAMMU ,181205",1912642444," gaurav.malhotra@springdales.in
 ",MRS.SEEMA GUPTA,http://www.springdales.org
STEPHENS INTERNATIONAL PUBLIC SCHOOL," NIHALPUR KULLIAN MIRAN SAHIB R S PURA J & K ,181101",1923266572," kuzlilmat@yahoo.com
",SHIBU MATHEW K,
THE CALLIOPE SCHOOL," VILLAGE DOOMI JAMMU- AKHNO HIGHWAY JAMMU ,181201",1912467588," calliopecalliope@gmail.com
",mrs.anju karki,
"VISHWA BHARATI PUBLIC HR. SEC. SCHOOL AKALPUR MORH, UDHEYWALLA, JAMMU"," VISHWA BHARATI PUBLIC HR. SEC. SCHOOL AKALPUR MORH, UDHEYWALLA, JAMMU ,181205",1912505885," anuguzarwan@gmail.com
 ",Annapurna Koul,http://www.vbpsjammu.in
